Reflection Zoneplate_RN;Reflection Zoneplate_RS;Reflection Zoneplate_RO;Reflection Zoneplate_OX;Reflection Zoneplate_OY;Reflection Zoneplate_OZ;Reflection Zoneplate_DX;Reflection Zoneplate_DY;Reflection Zoneplate_DZ;Reflection Zoneplate_EN;Reflection Zoneplate_PL;Reflection Zoneplate_S0;Reflection Zoneplate_S1;Reflection Zoneplate_S2;Reflection Zoneplate_S3
31;2;1;-2.734136050543290;0.3232561759444120;90.42859778215810000;0.02068210844340910;-0.00730432748301434;0.99975941965572700;100;90.36319987;1;1;0;0
32;2;1;-1.952926334232250;0.3282807543877470;90.28326858240250000;0.01473020506159470;0.00128331244790842;0.99989068110869200;100;90.21760472;1;1;0;0
33;2;1;-1.171739013210820;0.3333051651123920;90.13794483178740000;0.00878714823963770;0.00515980666396050;0.99994807986265200;100;90.07207473;1;1;0;0
34;2;1;-0.390574077034657;0.3383294081862680;89.99262652832920000;0.00284626981707806;0.00661922616244415;0.99997404195965900;100;89.92660989;1;1;0;0
35;2;1;0.390568484739449;0.3433534836776480;89.84731367002570000;-0.00309351590284581;0.00609450325903347;0.99997664332192500;100;89.7812102;1;1;0;0
36;2;1;1.171688682553520;0.3483773916547940;89.70200625487430000;-0.00903156040043720;0.00344080171303440;0.99995329480946500;100;89.63587567;1;1;0;0
37;2;1;1.952786526848470;0.3534011321858010;89.55670428088190000;-0.01496458571831210;-0.00236305114029680;0.99988523199594600;100;89.49060627;1;1;0;0
46;2;1;-1.943740534797290;1.2098205476671400;42.51878056897570000;0.01762302931705600;-0.01015642412537700;0.99979311654295500;100;42.45120681;1;1;0;0
47;2;1;-1.166227691942420;1.2148086209688800;42.37482874461690000;0.01052119715671330;0.00017232165980294;0.99994463582522200;100;42.30704974;1;1;0;0
48;2;1;-0.388737022721854;1.2197965337764200;42.23088201395490000;0.00343068413697088;0.00323742240827273;0.99998887468936500;100;42.1629572;1;1;0;0
49;2;1;0.388731483182493;1.2247842861568500;42.08694037503060000;-0.00365846186851925;0.00251347023025854;0.99999014901355800;100;42.01892917;1;1;0;0
50;2;1;1.166177836087630;1.2297718781772000;41.94300382588860000;-0.01074422044850330;-0.00251583818724082;0.99993911428905000;100;41.87496565;1;1;0;0
62;2;1;-0.386917347506176;2.0929247100659200;-5.07902175168000000;0.00471353219569369;-0.00411064038176098;0.99998044243369700;100;-5.148777559;1;1;0;0
63;2;1;0.386911859977077;2.0978766012264700;-5.22161155148393000;-0.00489814256101557;-0.00565221401247765;0.99997202994694300;100;-5.291453318;1;1;0;0
